Id,Modularity Class
"MALI,Guinea",4
"BOKE,Guinea",2
"CONAKRY,Guinea",2
"TOUGUE,Guinea",4
"KENEMA,Sierra+Leone",0
"MONTSERRADO,Liberia",3
"FARANAH,Guinea",4
"KISSIDOUGO,Guinea",3
"RIVER+GEE,Liberia",1
"LOFA,Liberia",3
"FREETOWN,Sierra+Leone",0
"MOYAMBA,Sierra+Leone",0
"BOFFA,Guinea",2
"MARGIBI,Liberia",3
"DUBREKA,Guinea",2
"N'ZEREKORE,Guinea",3
"FORECARIAH,Guinea",2
"GRAND+GEDEH,Liberia",1
"KEROUANE,Guinea",3
"TONKOLILI,Sierra+Leone",0
"MACENTA,Guinea",3
"PITA,Guinea",4
"PUJEHUN,Sierra+Leone",0
"KAMBIA,Sierra+Leone",2
"COYAH,Guinea",2
"NIMBA,Liberia",3
"BOMI,Liberia",0
"GUECKEDOU,Guinea",3
"BOMBALI,Sierra+Leone",0
"SINOE,Liberia",1
"DALABA,Guinea",4
"BEYLA,Guinea",3
"YOMOU,Guinea",3
"SIGUIRI,Guinea",4
"KONO,Sierra+Leone",0
"TELIMELE,Guinea",2
"FRIA,Guinea",2
"BO,Sierra+Leone",0
"DABOLA,Guinea",4
"GRAND+BASSA,Liberia",3
"PORT+LOKO,Sierra+Leone",0
"GBARPOLU,Liberia",0
"WESTERN+RURAL,Sierra+Leone",0
"GRAND+KRU,Liberia",1
"DINGUIRAYE,Guinea",4
"LOLA,Guinea",3
"KAILAHUN,Sierra+Leone",0
"RIVERCESS,Liberia",3
"MARYLAND,Liberia",1
"KOUROUSSA,Guinea",4
"KINDIA,Guinea",2
"KANKAN,Guinea",4
